alpha,poly,rscore
6.000000,9,0.648494959534 0.576771986957
6.000000,10,0.677217487729 0.614061675499
7.000000,2,0.158609461044 0.0773555302759
7.000000,3,0.155690074745 0.0758320367555
7.000000,4,0.190117219601 0.0938403621516
7.000000,5,0.263338195233 0.174686232571
7.000000,6,0.592905121165 0.531090300742
7.000000,7,0.674869778501 0.613856227855
7.000000,8,0.659861481438 0.590267159797
7.000000,9,0.64511028783 0.571809900802
7.000000,10,0.655766759541 0.589728388377
8.000000,2,0.158571295656 0.0771325753871
8.000000,3,0.154644438204 0.0750618440208
8.000000,4,0.173901186577 0.0855188718294
8.000000,5,0.16947822107 0.0806602062811
8.000000,6,0.574547218595 0.51294426874
8.000000,7,0.649759818246 0.588785495031
8.000000,8,0.663677007412 0.593766512626
8.000000,9,0.645993355547 0.572671471349
8.000000,10,0.658334602647 0.592640165452
9.000000,2,0.158528041856 0.0769048688588
9.000000,3,0.153458774199 0.0742091853739
9.000000,4,0.156845179268 0.076107255826
9.000000,5,0.161218898457 0.0756152864396
9.000000,6,0.547653704434 0.486801441328
9.000000,7,0.657625833335 0.595980864559
9.000000,8,0.664795064353 0.594773009904
9.000000,9,0.645905494341 0.572619432025
9.000000,10,0.65870846284 0.593250580997
10.000000,2,0.158479699714 0.076672410758
10.000000,3,0.152133570452 0.0732744046331
10.000000,4,0.154481109278 0.074581085771
10.000000,5,0.157632251739 0.075511867472
10.000000,6,0.505337295153 0.445510935767
10.000000,7,0.665324512692 0.603499373039
10.000000,8,0.665050529972 0.594965622461
10.000000,9,0.645488137883 0.572212938716
10.000000,10,0.658397792629 0.593017508401
11.000000,2,0.158426269303 0.076435201152
11.000000,3,0.15066915253 0.0722577136878
11.000000,4,0.150556114124 0.0722848356561
11.000000,5,0.151112052033 0.0694430488236
11.000000,6,0.45578948496 0.397722083292
11.000000,7,0.669346850136 0.607443058222
11.000000,8,0.664922811109 0.594790142275
11.000000,9,0.644895305932 0.571608291499
11.000000,10,0.657746254366 0.592362568276
12.000000,2,0.158367750695 0.076193240108
