alpha,poly,rscore
0.060000,10,0.853598125445 0.799691370133
0.070000,2,0.185673037021 0.10676602385
0.070000,3,0.296700624201 0.203431849607
0.070000,4,0.293442956432 0.191492371498
0.070000,5,0.654784526777 0.60336065718
0.070000,6,0.832653365293 0.767858762238
0.070000,7,0.830327395992 0.761038556724
0.070000,8,0.808739570619 0.74227726788
0.070000,9,0.815945338091 0.754867417115
0.070000,10,0.847555466764 0.795509832737
0.080000,2,0.185596380619 0.10649636166
0.080000,3,0.296052455035 0.202460492735
0.080000,4,0.29134830576 0.186018838301
0.080000,5,0.656092954681 0.605156453154
0.080000,6,0.827539029074 0.764838596967
0.080000,7,0.825717328057 0.758631408111
0.080000,8,0.803811845239 0.739622390016
0.080000,9,0.810255313691 0.751356575339
0.080000,10,0.841433787436 0.791330078824
0.090000,2,0.185509748312 0.106222464925
0.090000,3,0.29532374575 0.201433954068
0.090000,4,0.288703010398 0.179584227124
0.090000,5,0.657232514426 0.606726483448
0.090000,6,0.822256202229 0.761724769071
0.090000,7,0.820881713706 0.756086487364
0.090000,8,0.798725240237 0.7368748987
0.090000,9,0.804455249736 0.747798373168
0.090000,10,0.835264376797 0.787173835887
0.100000,2,0.185413189191 0.105944376801
0.100000,3,0.294515816719 0.200353159996
0.100000,4,0.285943129793 0.173351270866
0.100000,5,0.658225880176 0.608099687644
0.100000,6,0.816823967758 0.758529034393
0.100000,7,0.815842193572 0.753416536241
0.100000,8,0.793497798381 0.734045590003
0.100000,9,0.798567270849 0.744207545572
0.100000,10,0.8290709405 0.783056045389
0.110000,2,0.185306757178 0.105662145518
0.110000,3,0.293629962603 0.199219016491
0.110000,4,0.282974790973 0.167045665422
0.110000,5,0.659091939831 0.60930036786
0.110000,6,0.811261099952 0.755262962736
0.110000,7,0.810619099305 0.750633552034
0.110000,8,0.788146441998 0.731144620947
0.110000,9,0.792619725045 0.740604839418
0.110000,10,0.822874378802 0.778989514998
0.120000,2,0.185190511802 0.105375825087
0.120000,3,0.292667436048 0.198032393756
0.120000,4,0.279810448515 0.160674198929
