alpha,poly,rscore
25.000000,5,0.355694896232
25.000000,6,0.41733488635
25.000000,7,0.818625569105
25.000000,8,0.810361113727
25.000000,9,0.805806551038
25.000000,10,0.743548715277
26.000000,2,0.0333612549054
26.000000,3,0.0186225801541
26.000000,4,0.00789004960615
26.000000,5,0.351333601006
26.000000,6,0.415505499874
26.000000,7,0.817689233418
26.000000,8,0.809731773902
26.000000,9,0.805406534566
26.000000,10,0.741681295919
27.000000,2,0.0330602495622
27.000000,3,0.0183747373298
27.000000,4,0.00772053468154
27.000000,5,0.347199268327
27.000000,6,0.413785765397
27.000000,7,0.816761733281
27.000000,8,0.809116446419
27.000000,9,0.805022094101
27.000000,10,0.740057514364
28.000000,2,0.0327803347853
28.000000,3,0.0181411411135
28.000000,4,0.00756328515977
28.000000,5,0.343274458832
28.000000,6,0.412165894298
28.000000,7,0.815843098692
28.000000,8,0.808514644766
28.000000,9,0.804661205682
28.000000,10,0.738466703013
29.000000,2,0.032519560024
29.000000,3,0.017920477972
29.000000,4,0.00741705903677
29.000000,5,0.33954347771
29.000000,6,0.410637232117
29.000000,7,0.814933319783
29.000000,8,0.807926074676
29.000000,9,0.804313621829
29.000000,10,0.736853149862
30.000000,2,0.0322762071111
30.000000,3,0.0177115951397
30.000000,4,0.00728077399532
30.000000,5,0.335992161515
30.000000,6,0.409192098861
30.000000,7,0.813838946239
30.000000,8,0.807350731349
30.000000,9,0.803976017677
30.000000,10,0.735639970386
31.000000,2,0.0320487566632
31.000000,3,0.017513476595
31.000000,4,0.007153482735
31.000000,5,0.332607695579
31.000000,6,0.407823655419
31.000000,7,0.8124576247
31.000000,8,0.806787420304
31.000000,9,0.803659309027
31.000000,10,0.734583058743
32.000000,2,0.0318358601473
32.000000,3,0.017325223226
32.000000,4,0.0070343527225
32.000000,5,0.329378456984
32.000000,6,0.406525791312
32.000000,7,0.811085987182
32.000000,8,0.806236620739
32.000000,9,0.803357299545
32.000000,10,0.7333257709
33.000000,2,0.0316363165283
33.000000,3,0.0171460363581
33.000000,4,0.00692264946292
33.000000,5,0.326293879006
33.000000,6,0.405245084115
33.000000,7,0.809724316411
33.000000,8,0.805697408133
33.000000,9,0.802979392689
33.000000,10,0.732201289364
34.000000,2,0.0314490526454
34.000000,3,0.016975203996
34.000000,4,0.00681772260255
34.000000,5,0.32334433367
34.000000,6,0.404019547561
34.000000,7,0.808372850148
34.000000,8,0.805169707036
34.000000,9,0.802434951232
34.000000,10,0.731021438884
35.000000,2,0.0312731066395
35.000000,3,0.016812089271
35.000000,4,0.00671899432033
35.000000,5,0.320521029664
35.000000,6,0.402854364054
35.000000,7,0.807031783943
35.000000,8,0.80465309251
35.000000,9,0.801913890116
35.000000,10,0.730138613687
36.000000,2,0.0311076138935
36.000000,3,0.0166561206941
36.000000,4,0.00662594957882
36.000000,5,0.317815923312
36.000000,6,0.401745181559
36.000000,7,0.805701274021
36.000000,8,0.804147104988
36.000000,9,0.801223347296
36.000000,10,0.729229678248
37.000000,2,0.0309517950509
37.000000,3,0.0165067838906
37.000000,4,0.00653812789996
37.000000,5,0.315221640676
37.000000,6,0.40068805766
37.000000,7,0.80438143706
37.000000,8,0.803651880148
37.000000,9,0.800430722662
37.000000,10,0.728446679089
38.000000,2,0.0308049457635
38.000000,3,0.016363614563
38.000000,4,0.00645511639381
38.000000,5,0.312731409218
38.000000,6,0.399679411097
38.000000,7,0.803072351593
38.000000,8,0.803166494085
38.000000,9,0.799600664116
38.000000,10,0.727557990681
39.000000,2,0.0306664278833
39.000000,3,0.0162261924714
39.000000,4,0.0063765438237
39.000000,5,0.310338997672
39.000000,6,0.398715982436
39.000000,7,0.801774090441
39.000000,8,0.802690898971
39.000000,9,0.798804923762
39.000000,10,0.726762640948
40.000000,2,0.0305356618674
40.000000,3,0.0160941362652
40.000000,4,0.00630207553374
40.000000,5,0.308038662989
40.000000,6,0.397794797832
40.000000,7,0.800486708223
40.000000,8,0.80222492476
40.000000,9,0.798029865795
40.000000,10,0.726141625717
41.000000,2,0.0304121202053
41.000000,3,0.0159670990288
41.000000,4,0.00623140909469
41.000000,5,0.305825103411
41.000000,6,0.396913139117
41.000000,7,0.799210190001
41.000000,8,0.801768313634
41.000000,9,0.797282032868
41.000000,10,0.725286560852
42.000000,2,0.0302953217106
42.000000,3,0.0158447644275
42.000000,4,0.00616427055553
42.000000,5,0.303693416858
42.000000,6,0.396068516235
42.000000,7,0.797944561632
42.000000,8,0.80132064563
42.000000,9,0.796566215654
42.000000,10,0.724484272286
43.000000,2,0.0301848265485
43.000000,3,0.0157268433629
43.000000,4,0.00610041120121
43.000000,5,0.301639063946
43.000000,6,0.395258644323
43.000000,7,0.796689794046
43.000000,8,0.800881749246
43.000000,9,0.795866039719
43.000000,10,0.723851448054
44.000000,2,0.0300802318908
44.000000,3,0.0156130710586
44.000000,4,0.00603960474279
44.000000,5,0.299657835022
44.000000,6,0.394481422499
44.000000,7,0.79544587709
44.000000,8,0.800409398863
44.000000,9,0.795187536019
44.000000,10,0.723389214733
45.000000,2,0.0299811681061
